County,Precinct,Date,Party,Method,State,Votes
2,20110,11/03/2020,IND,Absentee,OK,1
2,20110,11/03/2020,IND,In Person,OK,6
2,20110,11/03/2020,REP,Absentee,OK,8
2,20110,11/03/2020,REP,Early,OK,10
2,20110,11/03/2020,REP,In Person,OK,140
2,20110,11/08/2016,DEM,Early,OK,2
2,20110,11/08/2016,DEM,In Person,OK,22
2,20110,11/08/2016,IND,Absentee,OK,1
2,20110,11/08/2016,IND,In Person,OK,6
2,20110,11/08/2016,REP,Absentee,OK,4
2,20110,11/08/2016,REP,Early,OK,17
2,20110,11/08/2016,REP,In Person,OK,115
2,20120,11/03/2020,DEM,Absentee,OK,2
2,20120,11/03/2020,DEM,Early,OK,6
2,20120,11/03/2020,DEM,In Person,OK,21
2,20120,11/03/2020,IND,Absentee,OK,2
2,20120,11/03/2020,IND,Early,OK,4
2,20120,11/03/2020,IND,In Person,OK,8
2,20120,11/03/2020,LIB,In Person,OK,1
2,20120,11/03/2020,REP,Absentee,OK,14
2,20120,11/03/2020,REP,Early,OK,20
2,20120,11/03/2020,REP,In Person,OK,117
2,20120,11/08/2016,DEM,Early,OK,2
2,20120,11/08/2016,DEM,In Person,OK,24
2,20120,11/08/2016,IND,Absentee,OK,3
2,20120,11/08/2016,IND,Early,OK,2
2,20120,11/08/2016,IND,In Person,OK,5
2,20120,11/08/2016,REP,Absentee,OK,15
2,20120,11/08/2016,REP,Early,OK,19
2,20120,11/08/2016,REP,In Person,OK,120
2,20140,11/03/2020,DEM,Absentee,OK,5
2,20140,11/03/2020,DEM,Early,OK,14
2,20140,11/03/2020,DEM,In Person,OK,38
2,20140,11/03/2020,IND,Absentee,OK,2
2,20140,11/03/2020,IND,Early,OK,2
2,20140,11/03/2020,IND,In Person,OK,14
2,20140,11/03/2020,REP,Absentee,OK,13
2,20140,11/03/2020,REP,Early,OK,93
2,20140,11/03/2020,REP,In Person,OK,205
2,20140,11/08/2016,DEM,Absentee,OK,1
2,20140,11/08/2016,DEM,Early,OK,8
2,20140,11/08/2016,DEM,In Person,OK,53
2,20140,11/08/2016,IND,Early,OK,1
2,20140,11/08/2016,IND,In Person,OK,16
2,20140,11/08/2016,REP,Absentee,OK,4
2,20140,11/08/2016,REP,Early,OK,57
2,20140,11/08/2016,REP,In Person,OK,215
2,20220,11/03/2020,DEM,Absentee,OK,12
2,20220,11/03/2020,DEM,Early,OK,29
2,20220,11/03/2020,DEM,In Person,OK,31
2,20220,11/03/2020,IND,Absentee,OK,1
2,20220,11/03/2020,IND,Early,OK,6
2,20220,11/03/2020,IND,In Person,OK,16
2,20220,11/03/2020,LIB,Absentee,OK,1
2,20220,11/03/2020,LIB,In Person,OK,1
2,20220,11/03/2020,REP,Absentee,OK,26
2,20220,11/03/2020,REP,Early,OK,139
2,20220,11/03/2020,REP,In Person,OK,246
2,20220,11/08/2016,DEM,Absentee,OK,5
2,20220,11/08/2016,DEM,Early,OK,15
2,20220,11/08/2016,DEM,In Person,OK,43
2,20220,11/08/2016,IND,In Person,OK,16
2,20220,11/08/2016,LIB,In Person,OK,1
2,20220,11/08/2016,REP,Absentee,OK,18
2,20220,11/08/2016,REP,Early,OK,63
2,20220,11/08/2016,REP,In Person,OK,242
2,20230,11/03/2020,DEM,Absentee,OK,3
2,20230,11/03/2020,DEM,Early,OK,1
2,20230,11/03/2020,DEM,In Person,OK,33
2,20230,11/03/2020,IND,Absentee,OK,1
2,20230,11/03/2020,IND,Early,OK,1
2,20230,11/03/2020,IND,In Person,OK,16
2,20230,11/03/2020,LIB,In Person,OK,2
2,20230,11/03/2020,REP,Absentee,OK,9
2,20230,11/03/2020,REP,Early,OK,23
2,20230,11/03/2020,REP,In Person,OK,195
2,20230,11/08/2016,DEM,Absentee,OK,1
2,20230,11/08/2016,DEM,In Person,OK,36
2,20230,11/08/2016,IND,In Person,OK,17
2,20230,11/08/2016,LIB,In Person,OK,2
2,20230,11/08/2016,REP,Absentee,OK,7
2,20230,11/08/2016,REP,Early,OK,11
2,20230,11/08/2016,REP,In Person,OK,167
2,20310,11/03/2020,DEM,Absentee,OK,4
2,20310,11/03/2020,DEM,Early,OK,2
2,20310,11/03/2020,DEM,In Person,OK,43
2,20310,11/03/2020,IND,Absentee,OK,1
2,20310,11/03/2020,IND,In Person,OK,13
2,20310,11/03/2020,LIB,In Person,OK,1
2,20310,11/03/2020,REP,Absentee,OK,9
2,20310,11/03/2020,REP,Early,OK,17
2,20310,11/03/2020,REP,In Person,OK,233
2,20310,11/08/2016,DEM,Absentee,OK,2
2,20310,11/08/2016,DEM,Early,OK,1
2,20310,11/08/2016,DEM,In Person,OK,43
2,20310,11/08/2016,IND,In Person,OK,8
2,20310,11/08/2016,LIB,In Person,OK,1
2,20310,11/08/2016,REP,Absentee,OK,3
2,20310,11/08/2016,REP,Early,OK,7
2,20310,11/08/2016,REP,In Person,OK,218
2,20320,11/03/2020,DEM,Absentee,OK,3
2,20320,11/03/2020,DEM,Early,OK,1
2,20320,11/03/2020,DEM,In Person,OK,17
2,20320,11/03/2020,IND,Absentee,OK,1
2,20320,11/03/2020,IND,In Person,OK,11
2,20320,11/03/2020,LIB,In Person,OK,1
2,20320,11/03/2020,REP,Absentee,OK,7
2,20320,11/03/2020,REP,Early,OK,1
2,20320,11/03/2020,REP,In Person,OK,134
2,20320,11/08/2016,DEM,Absentee,OK,1
2,20320,11/08/2016,DEM,In Person,OK,22
2,20320,11/08/2016,IND,Early,OK,2
2,20320,11/08/2016,IND,In Person,OK,12
2,20320,11/08/2016,REP,Absentee,OK,6
2,20320,11/08/2016,REP,Early,OK,3
2,20320,11/08/2016,REP,In Person,OK,114
2,20330,11/03/2020,DEM,Absentee,OK,2
2,20330,11/03/2020,DEM,In Person,OK,20
2,20330,11/03/2020,IND,In Person,OK,9
2,20330,11/03/2020,REP,Absentee,OK,9
2,20330,11/03/2020,REP,Early,OK,21
2,20330,11/03/2020,REP,In Person,OK,134
2,20330,11/08/2016,DEM,Early,OK,1
2,20330,11/08/2016,DEM,In Person,OK,18
2,20330,11/08/2016,IND,In Person,OK,9
2,20330,11/08/2016,REP,Absentee,OK,3
2,20330,11/08/2016,REP,Early,OK,11
2,20330,11/08/2016,REP,In Person,OK,132
3,30001,11/03/2020,DEM,Absentee,OK,21
3,30001,11/03/2020,DEM,Early,OK,71
3,30001,11/03/2020,DEM,In Person,OK,147
3,30001,11/03/2020,IND,Absentee,OK,5
3,30001,11/03/2020,IND,Early,OK,9
3,30001,11/03/2020,IND,In Person,OK,29
3,30001,11/03/2020,LIB,Absentee,OK,1
3,30001,11/03/2020,LIB,In Person,OK,2
3,30001,11/03/2020,REP,Absentee,OK,17
3,30001,11/03/2020,REP,Early,OK,98
3,30001,11/03/2020,REP,In Person,OK,157
3,30001,11/08/2016,DEM,Absentee,OK,10
3,30001,11/08/2016,DEM,Early,OK,59
3,30001,11/08/2016,DEM,In Person,OK,179
3,30001,11/08/2016,IND,Absentee,OK,1
3,30001,11/08/2016,IND,Early,OK,6
3,30001,11/08/2016,IND,In Person,OK,17
3,30001,11/08/2016,LIB,In Person,OK,2
3,30001,11/08/2016,REP,Absentee,OK,6
3,30001,11/08/2016,REP,Early,OK,72
3,30001,11/08/2016,REP,In Person,OK,134
3,30002,11/03/2020,DEM,Absentee,OK,16
3,30002,11/03/2020,DEM,Early,OK,46
3,30002,11/03/2020,DEM,In Person,OK,103
3,30002,11/03/2020,IND,Absentee,OK,4
3,30002,11/03/2020,IND,Early,OK,9
3,30002,11/03/2020,IND,In Person,OK,13
3,30002,11/03/2020,LIB,In Person,OK,3
3,30002,11/03/2020,REP,Absentee,OK,16
3,30002,11/03/2020,REP,Early,OK,78
3,30002,11/03/2020,REP,In Person,OK,133
3,30002,11/08/2016,DEM,Absentee,OK,7
3,30002,11/08/2016,DEM,Early,OK,45
3,30002,11/08/2016,DEM,In Person,OK,122
3,30002,11/08/2016,IND,Absentee,OK,2
3,30002,11/08/2016,IND,Early,OK,1
3,30002,11/08/2016,IND,In Person,OK,11
3,30002,11/08/2016,LIB,In Person,OK,1
3,30002,11/08/2016,REP,Absentee,OK,13
3,30002,11/08/2016,REP,Early,OK,59
3,30002,11/08/2016,REP,In Person,OK,105
3,30003,11/03/2020,DEM,Absentee,OK,12
3,30003,11/03/2020,DEM,Early,OK,57
3,30003,11/03/2020,DEM,In Person,OK,92
3,30003,11/03/2020,IND,Absentee,OK,1
3,30003,11/03/2020,IND,Early,OK,9
3,30003,11/03/2020,IND,In Person,OK,20
3,30003,11/03/2020,LIB,Early,OK,1
3,30003,11/03/2020,REP,Absentee,OK,14
3,30003,11/03/2020,REP,Early,OK,78
3,30003,11/03/2020,REP,In Person,OK,77
3,30003,11/08/2016,DEM,Absentee,OK,2
3,30003,11/08/2016,DEM,Early,OK,43
3,30003,11/08/2016,DEM,In Person,OK,122
3,30003,11/08/2016,IND,Early,OK,7
3,30003,11/08/2016,IND,In Person,OK,17
3,30003,11/08/2016,REP,Absentee,OK,5
3,30003,11/08/2016,REP,Early,OK,52
3,30003,11/08/2016,REP,In Person,OK,74
3,30006,11/03/2020,DEM,Absentee,OK,19
3,30006,11/03/2020,DEM,Early,OK,28
3,30006,11/03/2020,DEM,In Person,OK,76
3,30006,11/03/2020,IND,Absentee,OK,1
3,30006,11/03/2020,IND,Early,OK,8
3,30006,11/03/2020,IND,In Person,OK,15
3,30006,11/03/2020,REP,Absentee,OK,6
3,30006,11/03/2020,REP,Early,OK,40
3,30006,11/03/2020,REP,In Person,OK,116
3,30006,11/08/2016,DEM,Absentee,OK,6
3,30006,11/08/2016,DEM,Early,OK,26
3,30006,11/08/2016,DEM,In Person,OK,80
3,30006,11/08/2016,IND,Absentee,OK,2
3,30006,11/08/2016,IND,Early,OK,4
3,30006,11/08/2016,IND,In Person,OK,9
3,30006,11/08/2016,REP,Absentee,OK,4
3,30006,11/08/2016,REP,Early,OK,27
3,30006,11/08/2016,REP,In Person,OK,83
3,30007,11/03/2020,DEM,Absentee,OK,8
3,30007,11/03/2020,DEM,Early,OK,39
3,30007,11/03/2020,DEM,In Person,OK,160
3,30007,11/03/2020,IND,Absentee,OK,3
3,30007,11/03/2020,IND,Early,OK,7
3,30007,11/03/2020,IND,In Person,OK,21
3,30007,11/03/2020,LIB,In Person,OK,1
3,30007,11/03/2020,REP,Absentee,OK,10
3,30007,11/03/2020,REP,Early,OK,68
3,30007,11/03/2020,REP,In Person,OK,152
3,30007,11/08/2016,DEM,Absentee,OK,4
3,30007,11/08/2016,DEM,Early,OK,27
3,30007,11/08/2016,DEM,In Person,OK,180
3,30007,11/08/2016,IND,Early,OK,4
3,30007,11/08/2016,IND,In Person,OK,21
3,30007,11/08/2016,LIB,In Person,OK,1
3,30007,11/08/2016,REP,Absentee,OK,4
3,30007,11/08/2016,REP,Early,OK,40
3,30007,11/08/2016,REP,In Person,OK,125
3,30008,11/03/2020,DEM,Absentee,OK,14
3,30008,11/03/2020,DEM,Early,OK,36
3,30008,11/03/2020,DEM,In Person,OK,330
3,30008,11/03/2020,IND,Absentee,OK,2
3,30008,11/03/2020,IND,Early,OK,13
3,30008,11/03/2020,IND,In Person,OK,37
3,30008,11/03/2020,LIB,In Person,OK,1
3,30008,11/03/2020,REP,Absentee,OK,11
3,30008,11/03/2020,REP,Early,OK,71
3,30008,11/03/2020,REP,In Person,OK,274
3,30008,11/08/2016,DEM,Absentee,OK,12
3,30008,11/08/2016,DEM,Early,OK,18
3,30008,11/08/2016,DEM,In Person,OK,352
3,30008,11/08/2016,IND,Absentee,OK,2
3,30008,11/08/2016,IND,Early,OK,8
3,30008,11/08/2016,IND,In Person,OK,33
3,30008,11/08/2016,REP,Absentee,OK,10
3,30008,11/08/2016,REP,Early,OK,52
3,30008,11/08/2016,REP,In Person,OK,191
3,30009,11/03/2020,DEM,Absentee,OK,1
3,30009,11/03/2020,DEM,Early,OK,67
3,30009,11/03/2020,DEM,In Person,OK,141
3,30009,11/03/2020,IND,Absentee,OK,1
3,30009,11/03/2020,IND,Early,OK,18
3,30009,11/03/2020,IND,In Person,OK,22
3,30009,11/03/2020,LIB,In Person,OK,1
3,30009,11/03/2020,REP,Absentee,OK,13
3,30009,11/03/2020,REP,Early,OK,72
3,30009,11/03/2020,REP,In Person,OK,163
